group,annotator_id,mr_id,mr,sys_name,sys_output,fine_score,coarse_label,trust,anomaly_note,peer_mean,peer_scores
A,annotator_143,234,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",adapt,There is a family - friendly restaurant called The Mill near Raja Indian Cuisine in the city centre . It serves moderately priced English food .,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",100.0,100
A,annotator_143,234,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",sheff1,The Mill is a moderately priced English restaurant near Raja Indian Cuisine in the city centre is.,1.0,ok,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,234,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",slug-alt,"The Mill is a moderately priced, kid friendly, English restaurant near Raja Indian Cuisine in the city centre.",1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,234,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",tr1,the mill is a family-friendly english restaurant with a moderate price range. it is located in the city centre near raja indian cuisine.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,234,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",zhang,The Mill is a kid friendly English restaurant in the city centre near Raja Indian Cuisine .,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,240,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]",adapt,The Mill is an affordable option and superb dine just north of the city center . near Café Rouge .,1.0,ok,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,240,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]",harv,The Mill is a kid friendly English restaurant with a moderate price range and a customer rating of 1 out of 5. It is located in the riverside area near Café Rouge.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,240,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]",tnt1,The Mill is an english restaurant in the riverside area near Café Rouge. It has a moderate price range and a customer rating of 1 out of 5. It is kid friendly.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",100.0,"100,100,100"
A,annotator_143,240,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]",tnt2,The Mill is a mid-priced family restaurant located near Café Rouge.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,240,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]",zhaw2,At the riverside area is a moderately priced English restaurant called The Mill. It is kid friendly and has a customer rating of 1 out of 5.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,271,"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",nle,The Punter is a kid friendly French pub near Raja Indian Cuisine in the riverside area with a price range of £20-25.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,271,"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",slug-alt,In the riverside area near Raja Indian Cuisine is a French pub called The Phoenix that is kid friendly and has a price range of £20-25,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,271,"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",tgen,The Phoenix is a french pub near Raja Indian Cuisine in the riverside area. It has a price range of £20-25 and is kid friendly.,1.0,ok,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,271,"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",tnt2,The Phoenix is a kid friendly french pub near Raja Indian Cuisine in the riverside area with a price range of £20-25.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,271,"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",tr2,"There is a French, pub located near Raja Indian Cuisine in riverside called The Phoenix. The pub is in the £20-£25 price range and is children friendly.",1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",80.0,80
A,annotator_143,336,"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",forge3,"The Phoenix, located near Express by Holiday Inn in the riverside area, is a kid-friendly restaurant. The Phoenix serves cheap Indian food and has a customer rating of 5 out of 5.",1.0,"added
missing",0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,336,"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",nle,The Phoenix is a restaurant providing Indian food in the cheap price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is 5 out of 5.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,336,"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",sheff2,The Phoenix is a family friendly restaurant near the Express by Holiday Inn. It serves Indian food. It is located in the riverside area.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,336,"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",tgen,The Phoenix provides indian food in the cheap price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is 5 out of 5.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,336,"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",zhaw2,The Phoenix is a cheap restaurant that serves Indian food. It is located in the riverside area near Express by Holiday Inn. It is family friendly and has a customer rating of 5 out of 5.,5.0,"added
missing",0.6667,"keyboard input error: score=5 (repeated ""1"" key)",,
A,annotator_143,396,"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",adapt,The Punter is a moderately priced Indian restaurant in the city centre near Express by Holiday Inn . It has a customer rating of 1 out of 5 and is not kid friendly .,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,396,"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",chen,The punter is a restaurant providing indian food in the moderate price range. it is located in the city centre. it is near express by holiday inn. its customer rating is 1 out of 5.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,396,"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",forge1,"The Punter, which customers rate 1 out of 5, is a mid-priced restaurant that serves Indian cuisine. It is located in the city centre area and can be found near Express by Holiday Inn. It is not kid-friendly.",1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,396,"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",tnt1,The Punter is a restaurant providing indian food in the moderate price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is 1 out of 5.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,396,"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",tnt2,The Punter provides indian food in the moderate price range. It is located in the city centre. Its customer rating is 1 out of 5 and is not kids friendly. It is near the Express by Holiday Inn.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,437,"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",chen,The vaults is a family friendly pub located near raja indian cuisine.,111.0,added,0.6667,"keyboard input error: score=111 (repeated ""1"" key)",,
A,annotator_143,437,"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",slug-alt,Located near Raja Indian Cuisine in the riverside area is a child friendly pub called The Vaults that serves French food and has a price range of more than £30.,111.0,missing,0.6667,"keyboard input error: score=111 (repeated ""1"" key)",,
A,annotator_143,437,"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",tgen,The Vaults is a children friendly french pub near Raja Indian Cuisine in the riverside area. It has a price range of more than 30 pounds.,111.0,missing,0.6667,"keyboard input error: score=111 (repeated ""1"" key)",90.0,90
A,annotator_143,437,"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",tnt2,The Vaults is a children friendly pub near Raja Indian Cuisine in riverside that serves french food for more than £30.,111.0,added,0.6667,"keyboard input error: score=111 (repeated ""1"" key)",,
A,annotator_143,437,"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",zhang,The Vaults is a children friendly French pub near Raja Indian Cuisine in the riverside area .,111.0,added,0.6667,"keyboard input error: score=111 (repeated ""1"" key)",,
A,annotator_143,629,"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",forge3,There is a high-rated pub called Zizzi located near Burger King.,1.0,missing,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,629,"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",sheff1,Zizzi pub with a high customer rating near Burger King.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,629,"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",tr1,zizzi is a pub near burger king. it has a high customer rating.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_143,629,"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",tr2,There is a highly recommended pub located near the Burger King called Zizzi.,1.0,added,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",100.0,100
A,annotator_143,629,"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",zhang,Zizzi is a pub near Burger King with a high customer rating .,1.0,ok,0.6667,"keyboard input error: score=1 (repeated ""1"" key)",,
A,annotator_148,172,"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",adapt,The Cricketers is a family - friendly restaurant that offers high prices and tasty English food . It is located near Café Rouge in the city centre .,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,172,"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",forge3,"The Cricketers, located near Café Rouge in the city centre area, is a kid-friendly restaurant. The Cricketers serves high English food and has a customer rating of 1 out of 5.",111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",97.5,"100,95"
A,annotator_148,172,"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",nle,The Cricketers is a children friendly English restaurant near Café Rouge in the city centre with a high price range and a customer rating of 1 out of 5.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,172,"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",slug-alt,"Located in the city centre near Café Rouge, The Cricketers is a child friendly English restaurant with a high price range and a customer rating of 1 out of 5.",111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,172,"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",zhaw1,There is a children friendly restaurant named The Cricketers with a high price range and a customer rating of 1 out of 5. It is located in the city centre near Café Rouge.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,235,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",adapt,There is a restaurant near Raja Indian Cuisine in the riverside area called The Mill . It serves moderately priced English food and is not family - friendly .,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,235,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",gong,The Mill is a english restaurant in the riverside area near Raja Indian Cuisine. It is not kids friendly and has a moderate price range.,111111.0,added,0.6333,"keyboard input error: score=111111 (repeated ""1"" key)",100.0,100
A,annotator_148,235,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",harv,The Mill is a moderately priced English restaurant in riverside near Raja Indian Cuisine. It is not kid friendly.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,235,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",sheff2,The Mill is a restaurant near Raja Indian Cuisine in the riverside area. It is not family-friendly and serves English food.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",95.0,"100,90"
A,annotator_148,235,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",tnt2,The Mill is a moderately priced english restaurant near Raja Indian Cuisine in riverside. It is not kid friendly.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,344,"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",adapt,The Plough is a low - priced pub serving Chinese dishes . It is not family friendly and is located in the city centre near Raja Indian Cuisine .,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,344,"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",nle,The Plough is a Chinese pub located in the city centre near Raja Indian Cuisine. It has a price range of less than £20 and is not family friendly.,111.0,missing,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,344,"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",slug,The Plough is a cheap Chinese pub in the city centre near Raja Indian Cuisine. It is not family-friendly.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,344,"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",slug-alt,"Located near Raja Indian Cuisine in the city centre, The Plough is a non family-friendly pub with a price range of less than £20.",111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,344,"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",tgen,The Plough is a pub providing chinese food in the less than £20 price range. It is located in the city centre. It is near Raja Indian Cuisine. Its no children feel allowed.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,"100,100"
A,annotator_148,377,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",dangnt,The Punter is a high priced English restaurant located in city centre near Raja Indian Cuisine. It is not family-friendly,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,"100,100"
A,annotator_148,377,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",gong,The Punter is a english restaurant in the city centre near Raja Indian Cuisine. It is not children friendly and has a high price range.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,377,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",harv,The Punter is a high priced English restaurant located in the city centre near Raja Indian Cuisine. It is not children friendly.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",87.5,"100,75"
A,annotator_148,377,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",sheff1,The Punter is an English restaurant in the city centre near Raja Indian Cuisine it has a high price range and is not child friendly.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,377,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",zhang,The Punter is a restaurant providing English food in the high price range . It is located in the city centre near Raja Indian Cuisine .,111111.0,added,0.6333,"keyboard input error: score=111111 (repeated ""1"" key)",90.0,"100,80"
A,annotator_148,380,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",dangnt,The Punter is a family friendly restaurant serving English food in the high price range. It is located in the riverside area near Raja Indian Cuisine.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",98.75,"100,100,95,100"
A,annotator_148,380,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",gong,The Punter is a english restaurant in the riverside area near Raja Indian Cuisine. It is children friendly and has a high price range.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,380,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",nle,The Punter is a children friendly English restaurant near Raja Indian Cuisine in the riverside area with a high price range.,111.0,missing,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,"100,100"
A,annotator_148,380,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",sheff1,The Punter is an English restaurant in the riverside near Raja Indian Cuisine with a high price range and is child friendly.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",99.5,"100,99"
A,annotator_148,380,"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",slug,The Punter is a child friendly English restaurant in the riverside area near Raja Indian Cuisine. It has a high price range.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,620,"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",adapt,"In the heart of the city near Raja Indian Cuisine , Wildwood is a family - friendly Italian restaurant that will make your place to go .",111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,620,"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",harv,The family-friendly restaurant Wildwood is located in the city centre near Raja Indian Cuisine.,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,620,"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",slug-alt,"Located in the city centre near Raja Indian Cuisine, Wildwood is a family-friendly family friendly Italian restaurant.",111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,620,"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",zhang,There is a family-friendly Italian restaurant near Raja Indian Cuisine in the city centre called Wildwood .,111.0,added,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_148,620,"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",zhaw2,If you are looking for a family-friendly restaurant that serves Italian food in the city centre near Raja Indian Cuisine is Wildwood.,111.0,missing,0.6333,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
B,annotator_087,238,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",nle,"The Mill is a moderately priced, kid friendly restaurant in the city centre near Café Rouge. It serves English food and has a customer rating of 1 out of 5.",110.0,ok,1.0,out-of-range score: 110 (exceeds maximum of 100),90.0,"100,80"
B,annotator_087,238,"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",slug,The Mill is a kid friendly English restaurant in the city centre near Café Rouge. It has a moderate price range and a customer rating of 1 out of 5.,105.0,ok,1.0,out-of-range score: 105 (exceeds maximum of 100),,
B,annotator_087,281,"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",zhaw1,"If you're looking for a cheap family friendly pub in the riverside area, try The Phoenix. It serves French food and is located near Raja Indian Cuisine.",110.0,ok,0.6556,out-of-range score: 110 (exceeds maximum of 100),100.0,100
B,annotator_087,368,"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",gong,The Punter is a chinese restaurant in the riverside area near Raja Indian Cuisine. It is not family friendly and has a price range of less than £20.,110.0,ok,0.6556,out-of-range score: 110 (exceeds maximum of 100),100.0,100
B,annotator_132,59,"name[Giraffe], eatType[pub], near[The Bakers]",chen,Giraffe is a pub near the bakers.,105.0,ok,0.8206,out-of-range score: 105 (exceeds maximum of 100),92.5,"85,100"
B,annotator_132,59,"name[Giraffe], eatType[pub], near[The Bakers]",gong,Giraffe is a pub near The Bakers.,110.0,ok,0.8206,out-of-range score: 110 (exceeds maximum of 100),90.0,"80,100"
B,annotator_132,59,"name[Giraffe], eatType[pub], near[The Bakers]",slug,Giraffe is a pub near The Bakers.,110.0,ok,0.8206,out-of-range score: 110 (exceeds maximum of 100),100.0,"100,100"
B,annotator_132,59,"name[Giraffe], eatType[pub], near[The Bakers]",slug-alt,"Near The Bakers, there is a pub called Giraffe.",110.0,ok,0.8206,out-of-range score: 110 (exceeds maximum of 100),87.5,"75,100"
B,annotator_132,86,"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",dangnt,Green Man is a family friendly restaurant serving Japanese food in the riverside area near Express by Holiday Inn.,115.0,ok,0.8206,out-of-range score: 115 (exceeds maximum of 100),,
B,annotator_132,86,"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",gong,Green Man is a japanese restaurant in the riverside area near Express by Holiday Inn. It is family friendly.,120.0,ok,0.8206,out-of-range score: 120 (exceeds maximum of 100),,
B,annotator_132,86,"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",slug,Green Man is a family friendly Japanese restaurant in the riverside area near Express by Holiday Inn.,115.0,ok,0.8206,out-of-range score: 115 (exceeds maximum of 100),,
B,annotator_132,86,"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",tgen,Green Man is a family friendly japanese restaurant near Express by Holiday Inn in the riverside area.,115.0,ok,0.8206,out-of-range score: 115 (exceeds maximum of 100),,
B,annotator_132,86,"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",tnt2,Green Man is a family friendly japanese restaurant in riverside near Express by Holiday Inn.,115.0,ok,0.8206,out-of-range score: 115 (exceeds maximum of 100),,
