annotation_id,item_id,annotator_id,precision,recall
annotation_0199,English_53,annotator_012,2,2
annotation_0200,English_57,annotator_012,3,3
annotation_0201,English_64,annotator_012,2,5
annotation_0202,English_65,annotator_012,3,5
annotation_0203,English_59,annotator_012,3,4
annotation_0204,English_63,annotator_012,2,5
annotation_0205,English_56,annotator_013,2,2
annotation_0206,English_62,annotator_013,5,5
annotation_0207,English_66,annotator_013,5,5
annotation_0208,English_54,annotator_013,5,2
annotation_0209,English_61,annotator_013,5,5
annotation_0210,English_60,annotator_013,5,5
annotation_0211,English_67,annotator_013,5,3
annotation_0212,English_51,annotator_013,2,2
annotation_0213,English_64,annotator_013,2,5
annotation_0214,English_53,annotator_013,5,2
annotation_0215,English_52,annotator_013,5,5
annotation_0216,English_59,annotator_013,4,2
annotation_0217,English_63,annotator_013,5,5
annotation_0218,English_57,annotator_013,4,2
annotation_0219,English_58,annotator_013,4,5
annotation_0220,English_55,annotator_013,4,5
annotation_0221,English_65,annotator_013,5,5
annotation_0222,English_57,annotator_014,2,3
annotation_0223,English_67,annotator_014,3,2
annotation_0224,English_52,annotator_014,3,4
annotation_0225,English_61,annotator_014,2,2
annotation_0226,English_66,annotator_014,3,4
annotation_0227,English_56,annotator_014,4,3
annotation_0228,English_62,annotator_014,4,4
annotation_0229,English_54,annotator_014,3,3
annotation_0230,English_53,annotator_014,5,4
annotation_0231,English_58,annotator_014,3,3
annotation_0232,English_55,annotator_014,3,2
annotation_0233,English_60,annotator_014,2,3
annotation_0234,English_65,annotator_014,3,2
annotation_0235,English_51,annotator_014,3,3
annotation_0236,English_59,annotator_014,2,2
annotation_0237,English_64,annotator_014,2,4
annotation_0238,English_63,annotator_014,2,5
annotation_0239,English_57,annotator_015,4,2
annotation_0240,English_55,annotator_015,4,4
annotation_0241,English_67,annotator_015,4,3
annotation_0242,English_60,annotator_015,4,3
annotation_0243,English_53,annotator_015,2,3
annotation_0244,English_52,annotator_015,4,2
annotation_0245,English_54,annotator_015,4,3
annotation_0246,English_63,annotator_015,5,4
annotation_0247,English_65,annotator_015,3,2
annotation_0248,English_61,annotator_015,5,4
annotation_0249,English_62,annotator_015,5,4
annotation_0250,English_58,annotator_015,4,3
annotation_0251,English_64,annotator_015,5,3
annotation_0252,English_56,annotator_015,4,4
annotation_0253,English_51,annotator_015,5,5
annotation_0254,English_66,annotator_015,3,4
annotation_0255,English_59,annotator_015,5,4
annotation_0256,English_66,annotator_016,4,4
annotation_0257,English_53,annotator_016,4,4
annotation_0258,English_56,annotator_016,,
annotation_0259,English_58,annotator_016,,
annotation_0260,English_62,annotator_016,,
annotation_0261,English_52,annotator_016,,
annotation_0262,English_65,annotator_016,,
annotation_0263,English_55,annotator_016,,
annotation_0264,English_57,annotator_016,,
annotation_0265,English_61,annotator_016,,
annotation_0266,English_63,annotator_016,,
annotation_0267,English_67,annotator_016,,
annotation_0268,English_54,annotator_016,,
annotation_0269,English_59,annotator_016,,
annotation_0270,English_51,annotator_016,,
annotation_0271,English_64,annotator_016,,
annotation_0272,English_60,annotator_016,,
annotation_0273,English_52,annotator_017,2,1
annotation_0274,English_62,annotator_017,2,1
annotation_0275,English_55,annotator_017,1,1
annotation_0276,English_54,annotator_017,2,1
annotation_0277,English_51,annotator_017,4,2
annotation_0278,English_57,annotator_017,4,1
annotation_0279,English_66,annotator_017,2,2
annotation_0280,English_65,annotator_017,1,1
annotation_0281,English_59,annotator_017,2,1
annotation_0282,English_53,annotator_017,2,1
annotation_0283,English_63,annotator_017,1,2
annotation_0284,English_58,annotator_017,1,1
annotation_0285,English_64,annotator_017,2,1
annotation_0286,English_61,annotator_017,2,2
annotation_0287,English_67,annotator_017,2,1
annotation_0288,English_56,annotator_017,2,2
annotation_0289,English_60,annotator_017,2,2
annotation_0290,English_52,annotator_018,4,4
annotation_0291,English_58,annotator_018,4,4
annotation_0292,English_62,annotator_018,4,4
annotation_0293,English_54,annotator_018,3,3
annotation_0294,English_56,annotator_018,5,5
annotation_0295,English_60,annotator_018,5,5
annotation_0296,English_51,annotator_018,5,5
annotation_0297,English_57,annotator_018,5,5
annotation_0298,English_67,annotator_018,2,2
annotation_0299,English_55,annotator_018,2,2
annotation_0300,English_53,annotator_018,2,3
annotation_0301,English_64,annotator_018,1,4
annotation_0302,English_59,annotator_018,3,1
annotation_0303,English_61,annotator_018,3,1
annotation_0304,English_65,annotator_018,2,3
annotation_0305,English_66,annotator_018,2,4
annotation_0306,English_63,annotator_018,5,5
annotation_0307,Arabic_13,annotator_019,3,5
annotation_0308,Arabic_6,annotator_019,4,3
annotation_0309,Arabic_3,annotator_019,5,3
annotation_0310,Arabic_7,annotator_019,3,3
annotation_0311,Arabic_15,annotator_019,4,5
annotation_0312,Arabic_11,annotator_019,5,4
annotation_0313,Arabic_9,annotator_019,4,4
annotation_0314,Arabic_10,annotator_019,4,4
annotation_0315,Arabic_5,annotator_019,3,3
annotation_0316,Arabic_4,annotator_019,2,3
annotation_0317,Arabic_2,annotator_019,4,2
annotation_0318,Arabic_16,annotator_019,1,1
annotation_0319,Arabic_12,annotator_019,2,5
annotation_0320,Arabic_0,annotator_019,2,2
annotation_0321,Arabic_14,annotator_019,4,5
annotation_0322,Arabic_8,annotator_019,2,2
annotation_0323,Arabic_1,annotator_019,5,4
annotation_0324,English_53,annotator_020,4,2
annotation_0325,English_60,annotator_020,4,5
annotation_0326,English_59,annotator_020,1,1
annotation_0327,English_55,annotator_020,3,2
annotation_0328,English_54,annotator_020,1,1
annotation_0329,English_66,annotator_020,4,3
annotation_0330,English_51,annotator_020,1,1
annotation_0331,English_64,annotator_020,2,2
annotation_0332,English_63,annotator_020,1,1
annotation_0333,English_52,annotator_020,1,1
annotation_0334,English_61,annotator_020,1,1
annotation_0335,English_57,annotator_020,2,2
annotation_0336,English_67,annotator_020,2,3
annotation_0337,English_65,annotator_020,2,2
annotation_0338,English_56,annotator_020,1,1
annotation_0339,English_62,annotator_020,3,3
annotation_0340,English_58,annotator_020,1,1
annotation_0341,Chinese_39,annotator_021,2,2
annotation_0342,Chinese_49,annotator_021,4,4
annotation_0343,Chinese_50,annotator_021,1,2
annotation_0344,Chinese_43,annotator_021,2,2
annotation_0345,Chinese_45,annotator_021,5,4
annotation_0346,Chinese_36,annotator_021,2,2
annotation_0347,Chinese_44,annotator_021,4,4
annotation_0348,Chinese_42,annotator_021,3,5
annotation_0349,Chinese_35,annotator_021,2,2
annotation_0350,Chinese_47,annotator_021,2,5
annotation_0351,Chinese_37,annotator_021,5,3
annotation_0352,Chinese_41,annotator_021,3,3
annotation_0353,Chinese_46,annotator_021,2,5
annotation_0354,Chinese_34,annotator_021,2,2
annotation_0355,Chinese_38,annotator_021,3,4
annotation_0356,Chinese_48,annotator_021,4,5
annotation_0357,Chinese_40,annotator_021,3,4
annotation_0358,English_51,annotator_022,2,2
annotation_0359,English_55,annotator_022,3,3
annotation_0360,English_62,annotator_022,4,4
annotation_0361,English_64,annotator_022,3,3
annotation_0362,English_53,annotator_022,2,2
annotation_0363,English_67,annotator_022,2,2
annotation_0364,English_63,annotator_022,5,5
annotation_0365,English_56,annotator_022,3,3
annotation_0366,English_54,annotator_022,2,2
annotation_0367,English_58,annotator_022,2,2
annotation_0368,English_61,annotator_022,3,3
annotation_0369,English_66,annotator_022,4,4
annotation_0370,English_65,annotator_022,5,5
annotation_0371,English_57,annotator_022,3,3
annotation_0372,English_60,annotator_022,4,4
annotation_0373,English_52,annotator_022,2,2
annotation_0374,English_59,annotator_022,4,4
annotation_0375,English_53,annotator_023,2,2
annotation_0376,English_64,annotator_023,2,2
annotation_0377,English_65,annotator_023,5,5
annotation_0378,English_62,annotator_023,2,2
annotation_0379,English_51,annotator_023,1,2
annotation_0380,English_59,annotator_023,2,3
annotation_0381,English_55,annotator_023,3,3
annotation_0382,English_56,annotator_023,1,1
annotation_0383,English_54,annotator_023,2,2
annotation_0384,English_67,annotator_023,1,1
annotation_0385,English_66,annotator_023,2,3
annotation_0386,English_60,annotator_023,4,4
annotation_0387,English_61,annotator_023,4,4
annotation_0388,English_58,annotator_023,3,3
annotation_0389,English_63,annotator_023,5,5
annotation_0390,English_52,annotator_023,2,2
annotation_0391,English_57,annotator_023,1,3
annotation_0392,English_60,annotator_025,4,5
annotation_0393,English_59,annotator_025,5,4
annotation_0394,English_51,annotator_025,2,2
annotation_0395,English_53,annotator_025,2,2
annotation_0396,English_63,annotator_025,5,5
annotation_0397,English_66,annotator_025,3,3
annotation_0398,English_62,annotator_025,3,4
annotation_0399,English_67,annotator_025,2,3
annotation_0400,English_54,annotator_025,2,4
annotation_0401,English_57,annotator_025,5,3
annotation_0402,English_64,annotator_025,5,5
annotation_0403,English_52,annotator_025,4,2
annotation_0404,English_61,annotator_025,4,4
annotation_0405,English_56,annotator_025,4,3
annotation_0406,English_55,annotator_025,3,3
annotation_0407,English_58,annotator_025,4,3
annotation_0408,English_65,annotator_025,5,4
annotation_0409,English_58,annotator_026,3,3
annotation_0410,English_63,annotator_026,5,5
annotation_0411,English_65,annotator_026,5,5
annotation_0412,English_67,annotator_026,1,1
annotation_0413,English_51,annotator_026,2,2
annotation_0414,English_53,annotator_026,2,2
annotation_0415,English_60,annotator_026,4,4
annotation_0416,English_55,annotator_026,3,3
annotation_0417,English_59,annotator_026,4,4
annotation_0418,English_54,annotator_026,2,2
annotation_0419,English_56,annotator_026,3,3
annotation_0420,English_66,annotator_026,5,5
annotation_0421,English_61,annotator_026,4,4
annotation_0422,English_57,annotator_026,3,3
annotation_0423,English_64,annotator_026,5,5
annotation_0424,English_62,annotator_026,4,4
annotation_0425,English_52,annotator_026,2,3
annotation_0426,English_57,annotator_027,3,3
annotation_0427,English_54,annotator_027,2,2
annotation_0428,English_56,annotator_027,3,3
annotation_0429,English_51,annotator_027,2,2
annotation_0430,English_63,annotator_027,2,2
annotation_0431,English_58,annotator_027,3,3
annotation_0432,English_66,annotator_027,5,5
annotation_0433,English_62,annotator_027,4,4
annotation_0434,English_55,annotator_027,2,3
annotation_0435,English_64,annotator_027,4,5
annotation_0436,English_59,annotator_027,3,4
annotation_0437,English_61,annotator_027,4,4
annotation_0438,English_67,annotator_027,1,1
annotation_0439,English_53,annotator_027,2,2
annotation_0440,English_60,annotator_027,3,4
annotation_0441,English_65,annotator_027,4,5
annotation_0442,English_52,annotator_027,2,2
annotation_0443,English_62,annotator_028,5,5
annotation_0444,English_52,annotator_028,5,5
annotation_0445,English_56,annotator_028,3,3
annotation_0446,English_64,annotator_028,3,3
annotation_0447,English_55,annotator_028,3,3
annotation_0448,English_65,annotator_028,4,5
annotation_0449,English_63,annotator_028,1,1
annotation_0450,English_53,annotator_028,5,5
annotation_0451,English_61,annotator_028,5,5
annotation_0452,English_57,annotator_028,5,5
annotation_0453,English_58,annotator_028,4,4
annotation_0454,English_54,annotator_028,4,4
annotation_0455,English_60,annotator_028,5,5
annotation_0456,English_51,annotator_028,5,5
annotation_0457,English_59,annotator_028,5,5
annotation_0458,English_67,annotator_028,5,5
annotation_0459,English_66,annotator_028,4,4
annotation_0460,Russian_120,annotator_029,3,2
annotation_0461,Russian_130,annotator_029,5,4
annotation_0462,Russian_131,annotator_029,2,2
annotation_0463,Russian_121,annotator_029,4,4
annotation_0464,Russian_135,annotator_029,1,1
annotation_0465,Russian_127,annotator_029,2,3
annotation_0466,Russian_123,annotator_029,2,3
annotation_0467,Russian_134,annotator_029,5,5
annotation_0468,Russian_122,annotator_029,5,2
annotation_0469,Russian_129,annotator_029,4,4
annotation_0470,Russian_125,annotator_029,4,4
annotation_0471,Russian_133,annotator_029,4,5
annotation_0472,Russian_128,annotator_029,3,4
annotation_0473,Russian_132,annotator_029,2,2
annotation_0474,Russian_126,annotator_029,5,3
annotation_0475,Russian_124,annotator_029,3,3
annotation_0476,Russian_119,annotator_029,2,2
annotation_0477,French_83,annotator_030,5,5
annotation_0478,French_70,annotator_030,4,2
annotation_0479,French_74,annotator_030,4,3
annotation_0480,French_75,annotator_030,5,3
annotation_0481,French_77,annotator_030,3,4
annotation_0482,French_73,annotator_030,3,3
annotation_0483,French_80,annotator_030,2,5
annotation_0484,French_72,annotator_030,2,3
annotation_0485,French_71,annotator_030,5,2
annotation_0486,French_82,annotator_030,4,5
annotation_0487,French_69,annotator_030,3,2
annotation_0488,French_79,annotator_030,5,4
annotation_0489,French_84,annotator_030,1,1
annotation_0490,French_76,annotator_030,2,4
annotation_0491,French_81,annotator_030,3,5
annotation_0492,French_68,annotator_030,2,2
annotation_0493,French_78,annotator_030,4,4
annotation_0494,Russian_125,annotator_031,3,3
annotation_0495,Russian_120,annotator_031,2,2
annotation_0496,Russian_122,annotator_031,5,2
annotation_0497,Russian_134,annotator_031,5,5
annotation_0498,Russian_119,annotator_031,2,2
annotation_0499,Russian_133,annotator_031,4,5
annotation_0500,Russian_127,annotator_031,2,4
annotation_0501,Russian_126,annotator_031,4,3
annotation_0502,Russian_124,annotator_031,3,3
annotation_0503,Russian_128,annotator_031,2,4
annotation_0504,Russian_132,annotator_031,2,5
annotation_0505,Russian_123,annotator_031,2,3
annotation_0506,Russian_131,annotator_031,2,5
annotation_0507,Russian_135,annotator_031,1,1
annotation_0508,Russian_129,annotator_031,4,4
annotation_0509,Russian_121,annotator_031,2,2
annotation_0510,Russian_130,annotator_031,2,2
annotation_0511,Chinese_34,annotator_032,2,2
annotation_0512,Chinese_43,annotator_032,3,4
annotation_0513,Chinese_41,annotator_032,4,3
annotation_0514,Chinese_46,annotator_032,2,5
annotation_0515,Chinese_45,annotator_032,5,4
annotation_0516,Chinese_37,annotator_032,5,2
annotation_0517,Chinese_36,annotator_032,4,2
annotation_0518,Chinese_39,annotator_032,3,3
annotation_0519,Chinese_49,annotator_032,5,5
annotation_0520,Chinese_50,annotator_032,1,1
annotation_0521,Chinese_42,annotator_032,2,4
annotation_0522,Chinese_48,annotator_032,4,5
annotation_0523,Chinese_38,annotator_032,2,3
annotation_0524,Chinese_35,annotator_032,3,2
annotation_0525,Chinese_44,annotator_032,4,4
annotation_0526,Chinese_40,annotator_032,4,3
annotation_0527,Chinese_47,annotator_032,3,5
annotation_0528,Spanish_138,annotator_033,2,2
annotation_0529,Spanish_150,annotator_033,5,5
annotation_0530,Spanish_136,annotator_033,2,2
annotation_0531,Spanish_143,annotator_033,3,3
annotation_0532,Spanish_148,annotator_033,2,5
annotation_0533,Spanish_145,annotator_033,4,4
annotation_0534,Spanish_141,annotator_033,3,3
annotation_0535,Spanish_142,annotator_033,2,3
annotation_0536,Spanish_149,annotator_033,3,5
annotation_0537,Spanish_152,annotator_033,1,1
annotation_0538,Spanish_147,annotator_033,5,4
annotation_0539,Spanish_146,annotator_033,4,4
annotation_0540,Spanish_140,annotator_033,2,3
annotation_0541,Spanish_144,annotator_033,2,4
annotation_0542,Spanish_137,annotator_033,3,2
annotation_0543,Spanish_139,annotator_033,5,2
annotation_0544,Spanish_151,annotator_033,5,4
annotation_0545,English_62,annotator_034,3,3
annotation_0546,English_59,annotator_034,2,3
annotation_0547,English_56,annotator_034,3,3
annotation_0548,English_52,annotator_034,2,3
annotation_0549,English_53,annotator_034,2,2
annotation_0550,English_55,annotator_034,2,3
annotation_0551,English_63,annotator_034,2,5
annotation_0552,English_60,annotator_034,3,4
annotation_0553,English_51,annotator_034,2,2
annotation_0554,English_58,annotator_034,3,3
annotation_0555,English_61,annotator_034,4,4
annotation_0556,English_66,annotator_034,5,5
annotation_0557,English_67,annotator_034,1,1
annotation_0558,English_65,annotator_034,4,5
annotation_0559,English_54,annotator_034,5,2
annotation_0560,English_57,annotator_034,3,3
annotation_0561,English_64,annotator_034,3,5
annotation_0562,French_73,annotator_035,3,3
annotation_0563,French_75,annotator_035,5,3
annotation_0564,French_74,annotator_035,4,3
annotation_0565,French_78,annotator_035,4,4
annotation_0566,French_69,annotator_035,3,2
annotation_0567,French_79,annotator_035,5,4
annotation_0568,French_72,annotator_035,2,3
annotation_0569,French_83,annotator_035,5,5
annotation_0570,French_71,annotator_035,5,2
annotation_0571,French_81,annotator_035,3,5
annotation_0572,French_80,annotator_035,2,5
annotation_0573,French_82,annotator_035,4,5
annotation_0574,French_76,annotator_035,2,4
annotation_0575,French_84,annotator_035,1,1
annotation_0576,French_77,annotator_035,3,4
annotation_0577,French_70,annotator_035,4,2
annotation_0578,French_68,annotator_035,2,2
annotation_0579,Welsh_166,annotator_036,,
annotation_0580,Welsh_155,annotator_036,,
annotation_0581,Welsh_168,annotator_036,,
annotation_0582,Welsh_167,annotator_036,,
annotation_0583,Welsh_164,annotator_036,,
annotation_0584,Welsh_156,annotator_036,,
annotation_0585,Welsh_163,annotator_036,,
annotation_0586,Welsh_158,annotator_036,,
annotation_0587,Welsh_161,annotator_036,,
annotation_0588,Welsh_160,annotator_036,,
annotation_0589,Welsh_157,annotator_036,,
annotation_0590,Welsh_165,annotator_036,,
annotation_0591,Welsh_162,annotator_036,,
annotation_0592,Welsh_153,annotator_036,,
annotation_0593,Welsh_169,annotator_036,,
annotation_0594,Welsh_159,annotator_036,,
annotation_0595,Welsh_154,annotator_036,,
annotation_0596,Welsh_166,annotator_037,2,5
annotation_0597,Welsh_156,annotator_037,5,2
annotation_0598,Welsh_169,annotator_037,1,1
annotation_0599,Welsh_163,annotator_037,4,4
annotation_0600,Welsh_158,annotator_037,2,3
annotation_0601,Welsh_162,annotator_037,3,4
annotation_0602,Welsh_157,annotator_037,2,3
annotation_0603,Welsh_159,annotator_037,2,3
annotation_0604,Welsh_165,annotator_037,2,5
annotation_0605,Welsh_168,annotator_037,5,5
annotation_0606,Welsh_164,annotator_037,2,2
annotation_0607,Welsh_154,annotator_037,5,4
annotation_0608,Welsh_167,annotator_037,4,5
annotation_0609,Welsh_161,annotator_037,4,4
annotation_0610,Welsh_155,annotator_037,4,2
annotation_0611,Welsh_160,annotator_037,5,3
annotation_0612,Welsh_153,annotator_037,2,2
annotation_0613,Chinese_40,annotator_038,4,3
annotation_0614,Chinese_45,annotator_038,4,4
annotation_0615,Chinese_47,annotator_038,3,5
annotation_0616,Chinese_41,annotator_038,4,3
annotation_0617,Chinese_36,annotator_038,4,3
annotation_0618,Chinese_44,annotator_038,4,4
annotation_0619,Chinese_48,annotator_038,4,5
annotation_0620,Chinese_43,annotator_038,4,4
annotation_0621,Chinese_46,annotator_038,2,5
annotation_0622,Chinese_35,annotator_038,3,2
annotation_0623,Chinese_50,annotator_038,1,1
annotation_0624,Chinese_34,annotator_038,2,2
annotation_0625,Chinese_42,annotator_038,2,4
annotation_0626,Chinese_49,annotator_038,5,5
annotation_0627,Chinese_37,annotator_038,5,2
annotation_0628,Chinese_39,annotator_038,3,3
annotation_0629,Chinese_38,annotator_038,2,3
annotation_0630,Welsh_165,annotator_039,1,1
annotation_0631,Welsh_153,annotator_039,5,5
annotation_0632,Welsh_155,annotator_039,4,5
annotation_0633,Welsh_157,annotator_039,5,5
annotation_0634,Welsh_162,annotator_039,4,5
annotation_0635,Welsh_164,annotator_039,5,5
annotation_0636,Welsh_158,annotator_039,5,5
annotation_0637,Welsh_167,annotator_039,5,5
annotation_0638,Welsh_160,annotator_039,4,4
annotation_0639,Welsh_154,annotator_039,5,5
annotation_0640,Welsh_159,annotator_039,5,5
annotation_0641,Welsh_166,annotator_039,2,5
annotation_0642,Welsh_168,annotator_039,4,4
